Tahun;Bulan Rilis;Provinsi;Kode_Provinsi;Indeks_Ketersediaan;Indeks_Keterjangkauan;Indeks_Pemanfaatan;Indeks_Komposit
2022;Agustus;Banten;36;3;3;3;3
2022;Agustus;Bali;51;2;3;3;3
2022;Agustus;Nusa Tenggara Barat;52;3;3;2;3
2022;Agustus;Nusa Tenggara Timur;53;2;3;1;2
2022;Agustus;Kalimantan Barat;61;3;3;3;3
2022;Agustus;Kalimantan Tengah;62;2;3;3;3
2022;Agustus;Kalimantan Selatan;63;2;3;3;3
2022;Agustus;Kalimantan Timur;64;2;3;3;3
2022;Agustus;Kalimantan Utara;65;2;3;3;3
2022;Agustus;Sulawesi Utara;71;2;3;3;3
2022;Agustus;Sulawesi Tengah;72;1;3;3;2
2022;Agustus;Sulawesi Selatan;73;2;3;3;3
2022;Agustus;Sulawesi Tenggara;74;2;3;3;3
2022;Agustus;Gorontalo;75;3;3;3;3
2022;Agustus;Sulawesi Barat;76;2;3;2;2
2022;Agustus;Maluku;81;2;3;3;3
2022;Agustus;Maluku Utara;82;2;3;3;3
2022;Agustus;Papua Barat;92;2;3;2;2
2022;Agustus;Papua;91;2;3;3;3
2022;September;Aceh;11;2;3;3;3
2022;September;Sumatera Utara;12;2;3;3;3
2022;September;Sumatera Barat;13;2;3;3;3
2022;September;Riau;14;2;3;3;3
2022;September;Jambi;15;2;3;3;3
2022;September;Sumatera Selatan;16;3;3;3;3
2022;September;Bengkulu;17;2;3;3;3
2022;September;Lampung;18;3;3;3;3
2022;September;Bangka Belitung;19;2;3;3;3
2022;September;Kepulauan Riau;21;2;3;3;3
2022;September;DKI Jakarta;31;2;3;3;3
2022;September;Jawa Barat;32;3;3;3;3
2022;September;Jawa Tengah;33;3;3;3;3
2022;September;DI Yogyakarta;34;3;3;3;3
2022;September;Jawa Timur;35;3;3;3;3
2022;September;Banten;36;3;3;3;3
2022;September;Bali;51;2;3;3;3
2022;September;Nusa Tenggara Barat;52;3;3;3;3
2022;September;Nusa Tenggara Timur;53;2;3;1;2
2022;September;Kalimantan Barat;61;2;3;2;2
2022;September;Kalimantan Tengah;62;3;3;3;3
2022;September;Kalimantan Selatan;63;3;3;3;3
2022;September;Kalimantan Timur;64;3;3;3;3
2022;September;Kalimantan Utara;65;2;3;3;3
2022;September;Sulawesi Utara;71;2;3;3;3
2022;September;Sulawesi Tengah;72;2;3;3;3
2022;September;Sulawesi Selatan;73;3;3;3;3
2022;September;Sulawesi Tenggara;74;2;3;3;3
2022;September;Gorontalo;75;3;3;3;3
2022;September;Sulawesi Barat;76;2;3;2;2
2022;September;Maluku;81;3;3;3;3
2022;September;Maluku Utara;82;2;3;3;3
2022;September;Papua Barat;92;3;3;2;3
2022;September;Papua;91;3;3;3;3
2022;Oktober;Aceh;11;2;3;3;3
2022;Oktober;Sumatera Utara;12;2;3;3;3
2022;Oktober;Sumatera Barat;13;2;3;3;3
2022;Oktober;Riau;14;2;3;3;3
2022;Oktober;Jambi;15;2;3;3;3
2022;Oktober;Sumatera Selatan;16;2;3;3;3
2022;Oktober;Bengkulu;17;2;3;3;3
2022;Oktober;Lampung;18;3;3;3;3
2022;Oktober;Bangka Belitung;19;2;3;3;3
2022;Oktober;Kepulauan Riau;21;2;3;3;3
2022;Oktober;DKI Jakarta;31;3;3;3;3
2022;Oktober;Jawa Barat;32;3;3;3;3
2022;Oktober;Jawa Tengah;33;2;3;2;2
2022;Oktober;DI Yogyakarta;34;2;3;2;2
2022;Oktober;Jawa Timur;35;2;3;3;3
2022;Oktober;Banten;36;3;3;3;3
2022;Oktober;Bali;51;2;3;3;3
2022;Oktober;Nusa Tenggara Barat;52;2;3;2;2
2022;Oktober;Nusa Tenggara Timur;53;3;3;1;2
2022;Oktober;Kalimantan Barat;61;2;3;1;2
2022;Oktober;Kalimantan Tengah;62;3;3;3;3
2022;Oktober;Kalimantan Selatan;63;3;3;2;3
2022;Oktober;Kalimantan Timur;64;3;3;2;3
2022;Oktober;Kalimantan Utara;65;2;3;3;3
2022;Oktober;Sulawesi Utara;71;2;3;3;3
2022;Oktober;Sulawesi Tengah;72;2;3;2;2
2022;Oktober;Sulawesi Selatan;73;3;3;3;3
2022;Oktober;Sulawesi Tenggara;74;2;3;3;3
2022;Oktober;Gorontalo;75;2;3;2;2
2022;Oktober;Sulawesi Barat;76;2;3;1;2
2022;Oktober;Maluku;81;3;3;3;3
2022;Oktober;Maluku Utara;82;2;3;2;2
2022;Oktober;Papua Barat;92;3;3;1;2
2022;Oktober;Papua;91;3;3;2;3
2022;November;Aceh;11;3;3;3;3
2022;November;Sumatera Utara;12;2;3;3;3
2022;November;Sumatera Barat;13;2;3;3;3
2022;November;Riau;14;2;3;3;3
2022;November;Jambi;15;2;3;3;3
2022;November;Sumatera Selatan;16;2;3;3;3
2022;November;Bengkulu;17;2;3;3;3
2022;November;Lampung;18;2;3;3;3
2022;November;Bangka Belitung;19;2;3;3;3
2022;November;Kepulauan Riau;21;2;3;3;3
2022;November;DKI Jakarta;31;3;3;3;3
2022;November;Jawa Barat;32;3;3;3;3
2022;November;Jawa Tengah;33;3;3;2;3
2022;November;DI Yogyakarta;34;3;3;2;3
2022;November;Jawa Timur;35;3;3;3;3
2022;November;Banten;36;3;3;3;3
2022;November;Bali;51;3;3;3;3
2022;November;Nusa Tenggara Barat;52;3;3;1;2
2022;November;Nusa Tenggara Timur;53;2;3;1;2
2022;November;Kalimantan Barat;61;2;3;2;2
2022;November;Kalimantan Tengah;62;2;3;3;3
2022;November;Kalimantan Selatan;63;2;3;2;2
2022;November;Kalimantan Timur;64;2;3;2;2
2022;November;Kalimantan Utara;65;2;3;2;2
2022;November;Sulawesi Utara;71;2;3;3;3
2022;November;Sulawesi Tengah;72;2;3;2;2
2022;November;Sulawesi Selatan;73;3;3;2;3
2022;November;Sulawesi Tenggara;74;3;3;3;3
2022;November;Gorontalo;75;3;3;3;3
2022;November;Sulawesi Barat;76;2;3;1;2
2022;November;Maluku;81;2;3;3;3
2022;November;Maluku Utara;82;2;3;2;2
2022;November;Papua Barat;92;3;3;1;2
2022;November;Papua;91;3;3;2;3
2022;Desember;Aceh;11;2;3;3;3
2022;Desember;Sumatera Utara;12;2;3;3;3
2022;Desember;Sumatera Barat;13;2;3;3;3
2022;Desember;Riau;14;3;3;3;3
2022;Desember;Jambi;15;2;3;3;3
2022;Desember;Sumatera Selatan;16;3;3;3;3
2022;Desember;Bengkulu;17;2;3;3;3
2022;Desember;Lampung;18;2;3;3;3
2022;Desember;Bangka Belitung;19;2;3;3;3
2022;Desember;Kepulauan Riau;21;2;3;3;3
2022;Desember;DKI Jakarta;31;3;3;3;3
2022;Desember;Jawa Barat;32;3;3;3;3
2022;Desember;Jawa Tengah;33;3;3;2;3
2022;Desember;DI Yogyakarta;34;2;3;2;2
2022;Desember;Jawa Timur;35;3;3;3;3
2022;Desember;Banten;36;3;3;3;3
2022;Desember;Bali;51;3;3;3;3
2022;Desember;Nusa Tenggara Barat;52;3;3;1;2
2022;Desember;Nusa Tenggara Timur;53;2;3;1;2
2022;Desember;Kalimantan Barat;61;2;3;2;2
2022;Desember;Kalimantan Tengah;62;2;3;3;3
2022;Desember;Kalimantan Selatan;63;2;3;2;2
2022;Desember;Kalimantan Timur;64;2;3;2;2
2022;Desember;Kalimantan Utara;65;2;3;2;2
2022;Desember;Sulawesi Utara;71;2;3;3;3
2022;Desember;Sulawesi Tengah;72;2;3;2;2
2022;Desember;Sulawesi Selatan;73;2;3;2;2
2022;Desember;Sulawesi Tenggara;74;3;3;3;3
2022;Desember;Gorontalo;75;3;3;2;3
2022;Desember;Sulawesi Barat;76;2;3;1;2
2022;Desember;Maluku;81;3;3;2;3
2022;Desember;Maluku Utara;82;2;3;2;2
2022;Desember;Papua Barat;92;3;3;1;2
2022;Desember;Papua;91;3;3;2;3
2023;Januari;Aceh;11;2;3;3;3
2023;Januari;Sumatera Utara;12;2;3;3;3
2023;Januari;Sumatera Barat;13;3;3;3;3
2023;Januari;Riau;14;3;3;3;3
2023;Januari;Jambi;15;2;3;3;3
2023;Januari;Sumatera Selatan;16;3;3;3;3
2023;Januari;Bengkulu;17;2;3;3;3
2023;Januari;Lampung;18;2;3;3;3
2023;Januari;Bangka Belitung;19;2;3;3;3
2023;Januari;Kepulauan Riau;21;2;3;3;3
2023;Januari;DKI Jakarta;31;3;3;3;3
2023;Januari;Jawa Barat;32;2;3;3;3
2023;Januari;Jawa Tengah;33;3;3;2;3
2023;Januari;DI Yogyakarta;34;3;3;2;3
2023;Januari;Jawa Timur;35;2;3;3;3
2023;Januari;Banten;36;2;3;3;3
2023;Januari;Bali;51;2;3;3;3
2023;Januari;Nusa Tenggara Barat;52;2;3;2;2
2023;Januari;Nusa Tenggara Timur;53;2;3;1;2
2023;Januari;Kalimantan Barat;61;3;3;2;3
2023;Januari;Kalimantan Tengah;62;2;3;3;3
2023;Januari;Kalimantan Selatan;63;2;3;2;2
2023;Januari;Kalimantan Timur;64;2;3;2;2
2023;Januari;Kalimantan Utara;65;3;3;2;3
2023;Januari;Sulawesi Utara;71;2;3;3;3
2023;Januari;Sulawesi Tengah;72;2;3;2;2
2023;Januari;Sulawesi Selatan;73;2;3;2;2
2023;Januari;Sulawesi Tenggara;74;2;3;3;3
2023;Januari;Gorontalo;75;3;3;3;3
2023;Januari;Sulawesi Barat;76;2;3;1;2
2023;Januari;Maluku;81;2;3;2;2
2023;Januari;Maluku Utara;82;2;3;2;2
2023;Januari;Papua Barat;92;3;3;1;2
2023;Januari;Papua;91;3;3;2;3
2023;Februari;Aceh;11;1;3;3;2
2023;Februari;Sumatera Utara;12;1;3;3;2
2023;Februari;Sumatera Barat;13;2;3;3;3
2023;Februari;Riau;14;3;3;3;3
2023;Februari;Jambi;15;2;3;3;3
2023;Februari;Sumatera Selatan;16;2;3;3;3
2023;Februari;Bengkulu;17;2;3;3;3
2023;Februari;Lampung;18;2;3;3;3
2023;Februari;Bangka Belitung;19;3;3;3;3
2023;Februari;Kepulauan Riau;21;2;3;3;3
2023;Februari;DKI Jakarta;31;2;3;3;3
2023;Februari;Jawa Barat;32;1;3;3;2
2023;Februari;Jawa Tengah;33;1;3;3;2
2023;Februari;DI Yogyakarta;34;2;3;2;2
2023;Februari;Jawa Timur;35;2;3;3;3
2023;Februari;Banten;36;1;3;3;2
2023;Februari;Bali;51;2;3;3;3
2023;Februari;Nusa Tenggara Barat;52;2;3;1;2
2023;Februari;Nusa Tenggara Timur;53;2;3;1;2
2023;Februari;Kalimantan Barat;61;3;3;2;3
2023;Februari;Kalimantan Tengah;62;3;3;3;3
2023;Februari;Kalimantan Selatan;63;2;3;2;2
2023;Februari;Kalimantan Timur;64;2;3;2;2
2023;Februari;Kalimantan Utara;65;2;3;2;2
2023;Februari;Sulawesi Utara;71;2;3;3;3
2023;Februari;Sulawesi Tengah;72;2;3;2;2
2023;Februari;Sulawesi Selatan;73;1;3;2;2
2023;Februari;Sulawesi Tenggara;74;2;3;3;3
2023;Februari;Gorontalo;75;2;3;3;3
2023;Februari;Sulawesi Barat;76;2;3;1;2
2023;Februari;Maluku;81;2;3;2;2
2023;Februari;Maluku Utara;82;2;3;2;2
2023;Februari;Papua Barat;92;2;3;1;2
2023;Februari;Papua;91;2;3;2;2
2023;Maret;Aceh;11;3;3;3;3
2023;Maret;Sumatera Utara;12;3;3;3;3
2023;Maret;Sumatera Barat;13;2;3;3;3
2023;Maret;Riau;14;3;3;3;3
2023;Maret;Jambi;15;2;3;3;3
2023;Maret;Sumatera Selatan;16;2;3;3;3
2023;Maret;Bengkulu;17;2;3;3;3
2023;Maret;Lampung;18;2;3;3;3
2023;Maret;Bangka Belitung;19;2;3;3;3
2023;Maret;Kepulauan Riau;21;2;3;3;3
2023;Maret;DKI Jakarta;31;2;3;3;3
2023;Maret;Jawa Barat;32;1;3;3;2
2023;Maret;Jawa Tengah;33;2;3;3;3
2023;Maret;DI Yogyakarta;34;2;3;2;2
2023;Maret;Jawa Timur;35;1;3;3;2
2023;Maret;Banten;36;2;3;3;3
2023;Maret;Bali;51;2;3;3;3
2023;Maret;Nusa Tenggara Barat;52;2;3;2;2
2023;Maret;Nusa Tenggara Timur;53;2;3;1;2
2023;Maret;Kalimantan Barat;61;2;3;2;2
2023;Maret;Kalimantan Tengah;62;3;3;3;3
2023;Maret;Kalimantan Selatan;63;2;3;2;2
2023;Maret;Kalimantan Timur;64;2;3;2;2
2023;Maret;Kalimantan Utara;65;2;3;2;2
2023;Maret;Sulawesi Utara;71;2;3;3;3
2023;Maret;Sulawesi Tengah;72;2;3;2;2
2023;Maret;Sulawesi Selatan;73;1;3;3;2
2023;Maret;Sulawesi Tenggara;74;2;3;3;3
2023;Maret;Gorontalo;75;2;3;3;3
2023;Maret;Sulawesi Barat;76;3;3;1;2
2023;Maret;Maluku;81;2;3;3;3
2023;Maret;Maluku Utara;82;2;3;2;2
2023;Maret;Papua Barat;92;3;3;1;2
2023;Maret;Papua;91;2;3;2;2
2023;April;Aceh;11;3;3;3;3
2023;April;Sumatera Utara;12;2;3;3;3
2023;April;Sumatera Barat;13;2;3;3;3
2023;April;Riau;14;2;3;3;3
2023;April;Jambi;15;2;3;3;3
2023;April;Sumatera Selatan;16;2;3;3;3
2023;April;Bengkulu;17;2;3;3;3
2023;April;Lampung;18;2;3;3;3
2023;April;Bangka Belitung;19;3;3;3;3
2023;April;Kepulauan Riau;21;2;3;3;3
2023;April;DKI Jakarta;31;2;3;3;3
2023;April;Jawa Barat;32;1;3;3;2
2023;April;Jawa Tengah;33;2;3;3;3
2023;April;DI Yogyakarta;34;3;3;2;3
2023;April;Jawa Timur;35;3;3;3;3
2023;April;Banten;36;3;3;3;3
2023;April;Bali;51;3;3;3;3
2023;April;Nusa Tenggara Barat;52;3;3;2;3
2023;April;Nusa Tenggara Timur;53;3;3;1;2
2023;April;Kalimantan Barat;61;1;3;2;2
2023;April;Kalimantan Tengah;62;1;3;3;2
2023;April;Kalimantan Selatan;63;2;3;2;2
2023;April;Kalimantan Timur;64;1;3;2;2
2023;April;Kalimantan Utara;65;2;3;2;2
2023;April;Sulawesi Utara;71;3;3;3;3
2023;April;Sulawesi Tengah;72;3;3;2;3
2023;April;Sulawesi Selatan;73;3;3;2;3
2023;April;Sulawesi Tenggara;74;2;3;3;3
2023;April;Gorontalo;75;2;3;3;3
2023;April;Sulawesi Barat;76;3;3;1;2
2023;April;Maluku;81;2;3;2;2
2023;April;Maluku Utara;82;2;3;2;2
2023;April;Papua Barat;92;3;3;1;2
2023;April;Papua;91;3;3;2;3
2023;Mei;Aceh;11;1;3;3;2
2023;Mei;Sumatera Utara;12;2;3;3;3
2023;Mei;Sumatera Barat;13;2;3;3;3
2023;Mei;Riau;14;2;3;3;3
2023;Mei;Jambi;15;2;3;3;3
2023;Mei;Sumatera Selatan;16;3;3;3;3
2023;Mei;Bengkulu;17;2;3;3;3
2023;Mei;Lampung;18;3;3;3;3
2023;Mei;Bangka Belitung;19;2;3;3;3
2023;Mei;Kepulauan Riau;21;2;3;3;3
2023;Mei;DKI Jakarta;31;2;3;3;3
2023;Mei;Jawa Barat;32;2;3;3;3
2023;Mei;Jawa Tengah;33;2;3;3;3
2023;Mei;DI Yogyakarta;34;2;3;2;2
2023;Mei;Jawa Timur;35;2;3;3;3
2023;Mei;Banten;36;2;3;3;3
2023;Mei;Bali;51;3;3;3;3
2023;Mei;Nusa Tenggara Barat;52;2;3;2;2
2023;Mei;Nusa Tenggara Timur;53;2;3;1;2
2023;Mei;Kalimantan Barat;61;2;3;2;2
2023;Mei;Kalimantan Tengah;62;2;3;3;3
2023;Mei;Kalimantan Selatan;63;2;3;2;2
2023;Mei;Kalimantan Timur;64;2;3;2;2
2023;Mei;Kalimantan Utara;65;3;3;2;3
2023;Mei;Sulawesi Utara;71;2;3;3;3
2023;Mei;Sulawesi Tengah;72;3;3;2;3
2023;Mei;Sulawesi Selatan;73;2;3;2;2
2023;Mei;Sulawesi Tenggara;74;2;3;3;3
2023;Mei;Gorontalo;75;2;3;3;3
2023;Mei;Sulawesi Barat;76;3;3;1;2
2023;Mei;Maluku;81;2;3;2;2
2023;Mei;Maluku Utara;82;2;3;2;2
2023;Mei;Papua Barat;92;2;3;1;2
2023;Mei;Papua;91;3;3;2;3
2023;Juni;Aceh;11;2;3;3;3
2023;Juni;Sumatera Utara;12;2;3;3;3
2023;Juni;Sumatera Barat;13;2;3;3;3
2023;Juni;Riau;14;2;3;3;3
2023;Juni;Jambi;15;2;3;3;3
2023;Juni;Sumatera Selatan;16;2;3;3;3
2023;Juni;Bengkulu;17;2;3;3;3
2023;Juni;Lampung;18;3;3;3;3
2023;Juni;Bangka Belitung;19;2;3;3;3
2023;Juni;Kepulauan Riau;21;2;3;3;3
2023;Juni;DKI Jakarta;31;3;3;3;3
2023;Juni;Jawa Barat;32;2;3;3;3
2023;Juni;Jawa Tengah;33;2;3;3;3
2023;Juni;DI Yogyakarta;34;2;3;2;2
2023;Juni;Jawa Timur;35;2;3;3;3
2023;Juni;Banten;36;2;3;3;3
2023;Juni;Bali;51;2;3;3;3
2023;Juni;Nusa Tenggara Barat;52;2;3;2;2
2023;Juni;Nusa Tenggara Timur;53;2;3;1;2
2023;Juni;Kalimantan Barat;61;2;3;2;2
2023;Juni;Kalimantan Tengah;62;2;3;3;3
2023;Juni;Kalimantan Selatan;63;1;3;2;2
2023;Juni;Kalimantan Timur;64;2;3;2;2
2023;Juni;Kalimantan Utara;65;2;3;2;2
2023;Juni;Sulawesi Utara;71;2;3;3;3
2023;Juni;Sulawesi Tengah;72;1;3;2;2
2023;Juni;Sulawesi Selatan;73;2;3;2;2
2023;Juni;Sulawesi Tenggara;74;2;3;3;3
2023;Juni;Gorontalo;75;2;3;3;3
2023;Juni;Sulawesi Barat;76;1;3;1;1
2023;Juni;Maluku;81;2;3;3;3
2023;Juni;Maluku Utara;82;2;3;2;2
2023;Juni;Papua Barat;92;3;3;1;2
2023;Juni;Papua;91;2;3;2;2
2023;Juli;Aceh;11;2;3;3;3
2023;Juli;Sumatera Utara;12;2;3;3;3
2023;Juli;Sumatera Barat;13;3;3;3;3
2023;Juli;Riau;14;2;3;3;3
2023;Juli;Jambi;15;3;3;3;3
2023;Juli;Sumatera Selatan;16;3;3;3;3
2023;Juli;Bengkulu;17;2;3;3;3
2023;Juli;Lampung;18;3;3;3;3
2023;Juli;Bangka Belitung;19;2;3;3;3
2023;Juli;Kepulauan Riau;21;2;3;3;3
2023;Juli;DKI Jakarta;31;3;3;3;3
2023;Juli;Jawa Barat;32;2;3;3;3
2023;Juli;Jawa Tengah;33;2;3;2;2
2023;Juli;DI Yogyakarta;34;2;3;2;2
2023;Juli;Jawa Timur;35;2;3;3;3
2023;Juli;Banten;36;2;3;3;3
2023;Juli;Bali;51;2;3;3;3
2023;Juli;Nusa Tenggara Barat;52;2;3;2;2
2023;Juli;Nusa Tenggara Timur;53;2;3;1;2
2023;Juli;Kalimantan Barat;61;2;3;2;2
2023;Juli;Kalimantan Tengah;62;2;3;3;3
2023;Juli;Kalimantan Selatan;63;2;3;2;2
2023;Juli;Kalimantan Timur;64;3;3;2;3
2023;Juli;Kalimantan Utara;65;2;3;2;2
2023;Juli;Sulawesi Utara;71;3;3;3;3
2023;Juli;Sulawesi Tengah;72;2;3;2;2
2023;Juli;Sulawesi Selatan;73;2;3;2;2
2023;Juli;Sulawesi Tenggara;74;2;3;3;3
2023;Juli;Gorontalo;75;2;3;3;3
2023;Juli;Sulawesi Barat;76;2;3;1;2
2023;Juli;Maluku;81;3;3;2;3
2023;Juli;Maluku Utara;82;3;3;2;3
2023;Juli;Papua Barat;92;2;3;1;2
2023;Juli;Papua;91;2;3;2;2
2023;Agustus;Aceh;11;2;3;3;3
2023;Agustus;Sumatera Utara;12;3;3;3;3
2023;Agustus;Sumatera Barat;13;3;3;3;3
2023;Agustus;Riau;14;3;3;3;3
2023;Agustus;Jambi;15;3;3;3;3
2023;Agustus;Sumatera Selatan;16;2;3;3;3
2023;Agustus;Bengkulu;17;2;3;3;3
2023;Agustus;Lampung;18;3;3;3;3
2023;Agustus;Bangka Belitung;19;3;3;3;3
2023;Agustus;Kepulauan Riau;21;2;3;3;3
2023;Agustus;DKI Jakarta;31;3;3;3;3
2023;Agustus;Jawa Barat;32;3;3;3;3
2023;Agustus;Jawa Tengah;33;2;3;2;2
2023;Agustus;DI Yogyakarta;34;3;3;2;3
2023;Agustus;Jawa Timur;35;2;3;3;3
2023;Agustus;Banten;36;2;3;3;3
2023;Agustus;Bali;51;2;3;3;3
2023;Agustus;Nusa Tenggara Barat;52;2;3;2;2
2023;Agustus;Nusa Tenggara Timur;53;2;3;1;2
2023;Agustus;Kalimantan Barat;61;3;3;1;2
2023;Agustus;Kalimantan Tengah;62;3;3;3;3
2023;Agustus;Kalimantan Selatan;63;3;3;2;3
2023;Agustus;Kalimantan Timur;64;2;3;2;2
2023;Agustus;Kalimantan Utara;65;2;3;2;2
2023;Agustus;Sulawesi Utara;71;3;3;3;3
2023;Agustus;Sulawesi Tengah;72;2;3;2;2
2023;Agustus;Sulawesi Selatan;73;3;3;2;3
2023;Agustus;Sulawesi Tenggara;74;2;3;3;3
2023;Agustus;Gorontalo;75;2;3;3;3
2023;Agustus;Sulawesi Barat;76;2;3;1;2
2023;Agustus;Maluku;81;2;3;3;3
2023;Agustus;Maluku Utara;82;2;3;2;2
2023;Agustus;Papua Barat;92;2;3;1;2
2023;Agustus;Papua;91;3;3;2;3
2023;September;Aceh;11;1;3;3;2
2023;September;Sumatera Utara;12;3;3;3;3
2023;September;Sumatera Barat;13;2;3;3;3
2023;September;Riau;14;3;3;3;3
2023;September;Jambi;15;2;3;3;3
2023;September;Sumatera Selatan;16;2;3;3;3
2023;September;Bengkulu;17;2;3;3;3
2023;September;Lampung;18;2;3;3;3
2023;September;Bangka Belitung;19;3;3;3;3
2023;September;Kepulauan Riau;21;3;3;3;3
2023;September;DKI Jakarta;31;2;3;3;3
2023;September;Jawa Barat;32;2;3;3;3
2023;September;Jawa Tengah;33;2;3;3;3
2023;September;DI Yogyakarta;34;2;3;2;2
2023;September;Jawa Timur;35;2;3;3;3
2023;September;Banten;36;2;3;3;3
2023;September;Bali;51;3;3;3;3
2023;September;Nusa Tenggara Barat;52;3;3;2;3
2023;September;Nusa Tenggara Timur;53;2;3;1;2
2023;September;Kalimantan Barat;61;2;3;1;2
2023;September;Kalimantan Tengah;62;3;3;2;3
2023;September;Kalimantan Selatan;63;2;3;2;2
2023;September;Kalimantan Timur;64;2;3;2;2
2023;September;Kalimantan Utara;65;2;3;2;2
2023;September;Sulawesi Utara;71;2;3;3;3
2023;September;Sulawesi Tengah;72;2;3;2;2
2023;September;Sulawesi Selatan;73;3;3;3;3
2023;September;Sulawesi Tenggara;74;2;3;3;3
2023;September;Gorontalo;75;3;3;3;3
2023;September;Sulawesi Barat;76;2;3;1;2
2023;September;Maluku;81;2;3;3;3
2023;September;Maluku Utara;82;2;3;2;2
2023;September;Papua Barat;92;3;3;1;2
2023;September;Papua;91;3;1;2;2
2023;Oktober;Aceh;11;2;3;3;3
2023;Oktober;Sumatera Utara;12;1;3;3;2
2023;Oktober;Sumatera Barat;13;3;3;3;3
2023;Oktober;Riau;14;3;3;3;3
2023;Oktober;Jambi;15;2;3;3;3
2023;Oktober;Sumatera Selatan;16;2;3;3;3
2023;Oktober;Bengkulu;17;3;3;3;3
2023;Oktober;Lampung;18;2;3;3;3
2023;Oktober;Bangka Belitung;19;3;3;3;3
2023;Oktober;Kepulauan Riau;21;2;3;3;3
2023;Oktober;DKI Jakarta;31;2;3;3;3
2023;Oktober;Jawa Barat;32;2;3;3;3
2023;Oktober;Jawa Tengah;33;3;3;3;3
2023;Oktober;DI Yogyakarta;34;2;3;2;2
2023;Oktober;Jawa Timur;35;3;3;3;3
2023;Oktober;Banten;36;2;3;3;3
2023;Oktober;Bali;51;3;3;3;3
2023;Oktober;Nusa Tenggara Barat;52;3;3;2;3
2023;Oktober;Nusa Tenggara Timur;53;3;3;1;2
2023;Oktober;Kalimantan Barat;61;2;3;1;2
2023;Oktober;Kalimantan Tengah;62;2;3;2;2
2023;Oktober;Kalimantan Selatan;63;2;3;2;2
2023;Oktober;Kalimantan Timur;64;2;3;1;2
2023;Oktober;Kalimantan Utara;65;2;3;2;2
2023;Oktober;Sulawesi Utara;71;2;3;3;3
2023;Oktober;Sulawesi Tengah;72;3;3;2;3
2023;Oktober;Sulawesi Selatan;73;3;3;2;3
2023;Oktober;Sulawesi Tenggara;74;2;3;3;3
2023;Oktober;Gorontalo;75;2;3;3;3
2023;Oktober;Sulawesi Barat;76;2;3;1;2
2023;Oktober;Maluku;81;2;3;3;3
2023;Oktober;Maluku Utara;82;2;3;2;2
2023;Oktober;Papua Barat;92;3;3;1;2
2023;Oktober;Papua;91;2;2;2;2
2023;November;Aceh;11;3;3;3;3
2023;November;Sumatera Utara;12;2;3;3;3
2023;November;Sumatera Barat;13;2;3;3;3
2023;November;Riau;14;2;3;3;3
2023;November;Jambi;15;2;3;3;3
